SEMMEDDB Subject Code	SEMMEDDB Subject T code	SEMMEDDB Predicate	SEMMEDDB Object Code	SEMMEDDB Object T code	Notes
T120	chvf	NEG_STIMULATES			Domain exclusion
T058	hlca	NEG_TREATS			Domain exclusion
T120	chvf	NEG_TREATS			Domain exclusion
T097	prog	NEG_TREATS			Domain exclusion
T104	chvs	NEG_TREATS			Domain exclusion
T059	lbpr	NEG_TREATS			Domain exclusion
T062	resa	NEG_TREATS			Domain exclusion
T016	humn	NEG_TREATS			Domain exclusion
T065	edac	NEG_TREATS			Domain exclusion
T073	mnob	NEG_TREATS			Domain exclusion
T059	lbpr	NEG_USES			Domain exclusion
T062	resa	NEG_USES			Domain exclusion
T058	hlca	NEG_USES			Domain exclusion
T098	popg	NEG_USES			Domain exclusion
T101	podg	NEG_USES			Domain exclusion
T097	prog	NEG_USES			Domain exclusion
T096	grup	NEG_USES			Domain exclusion
T063	mbrt	NEG_USES			Domain exclusion
T099	famg	NEG_USES			Domain exclusion
T016	humn	NEG_USES			Domain exclusion
T059	lbpr	NOM			Domain exclusion
T067	phpr	OCCURS_IN			Domain exclusion
T054	socb	OCCURS_IN			Domain exclusion
T021	ffas	PART_OF			Domain exclusion
T104	chvs	PART_OF			Domain exclusion
T085	mosq	PART_OF			Domain exclusion
T120	chvf	PART_OF			Domain exclusion
T059	lbpr	PART_OF			Domain exclusion
T073	mnob	PART_OF			Domain exclusion
T062	resa	PRECEDES			Domain exclusion
T120	chvf	PRECEDES			Domain exclusion
T169	ftcn	PRECEDES			Domain exclusion
T170	inpr	PRECEDES			Domain exclusion
T059	lbpr	PRECEDES			Domain exclusion
T201	clna	PREDISPOSES			Domain exclusion
T054	socb	PREDISPOSES			Domain exclusion
T081	qnco	PREDISPOSES			Domain exclusion
T041	menp	PREDISPOSES			Domain exclusion
T062	resa	PREDISPOSES			Domain exclusion
T082	spco	PREDISPOSES			Domain exclusion
T120	chvf	PREDISPOSES			Domain exclusion
T073	mnob	PREDISPOSES			Domain exclusion
T104	chvs	PREDISPOSES			Domain exclusion
T080	qlco	PREDISPOSES			Domain exclusion
T079	tmco	PREDISPOSES			Domain exclusion
T103	chem	PREDISPOSES			Domain exclusion
T065	edac	PREDISPOSES			Domain exclusion
T058	hlca	PREVENTS			Domain exclusion
T104	chvs	PREVENTS			Domain exclusion
T120	chvf	PREVENTS			Domain exclusion
T059	lbpr	PREVENTS			Domain exclusion
T062	resa	PREVENTS			Domain exclusion
T065	edac	PREVENTS			Domain exclusion
T103	chem	PREVENTS			Domain exclusion
T075	resd	PREVENTS			Domain exclusion
T041	menp	PROCESS_OF			Domain exclusion
T054	socb	PROCESS_OF			Domain exclusion
T201	clna	PROCESS_OF			Domain exclusion
T079	tmco	PROCESS_OF			Domain exclusion
T078	idcn	PROCESS_OF			Domain exclusion
T169	ftcn	PROCESS_OF			Domain exclusion
T080	qlco	PROCESS_OF			Domain exclusion
T052	acty	PROCESS_OF			Domain exclusion
T063	mbrt	PROCESS_OF			Domain exclusion
T053	bhvr	PROCESS_OF			Domain exclusion
T057	ocac	PROCESS_OF			Domain exclusion
T070	npop	PROCESS_OF			Domain exclusion
T185	clas	PROCESS_OF			Domain exclusion
T051	evnt	PROCESS_OF			Domain exclusion
T082	spco	PROCESS_OF			Domain exclusion
T098	popg	PRODUCES			Domain exclusion
T101	podg	PRODUCES			Domain exclusion
T097	prog	PRODUCES			Domain exclusion
T059	lbpr	PRODUCES			Domain exclusion
T096	grup	PRODUCES			Domain exclusion
T099	famg	PRODUCES			Domain exclusion
T093	hcro	PRODUCES			Domain exclusion
T092	orgt	PRODUCES			Domain exclusion
T021	ffas	PRODUCES			Domain exclusion
T016	humn	PRODUCES			Domain exclusion
T094	pros	PRODUCES			Domain exclusion
T073	mnob	PRODUCES			Domain exclusion
T063	mbrt	PRODUCES			Domain exclusion
T079	tmco	PRODUCES			Domain exclusion
T201	clna	PRODUCES			Domain exclusion
T170	inpr	PRODUCES			Domain exclusion
T041	menp	PRODUCES			Domain exclusion
T120	chvf	same_as			Domain exclusion
T104	chvs	same_as			Domain exclusion
T062	resa	same_as			Domain exclusion
T103	chem	same_as			Domain exclusion
T081	qnco	same_as			Domain exclusion
T169	ftcn	same_as			Domain exclusion
T170	inpr	same_as			Domain exclusion
T079	tmco	same_as			Domain exclusion
T120	chvf	STIMULATES			Domain exclusion
T104	chvs	STIMULATES			Domain exclusion
T062	resa	STIMULATES			Domain exclusion
T073	mnob	STIMULATES			Domain exclusion
T059	lbpr	STIMULATES			Domain exclusion
T058	hlca	TREATS			Domain exclusion
T120	chvf	TREATS			Domain exclusion
T097	prog	TREATS			Domain exclusion
T104	chvs	TREATS			Domain exclusion
T060	diap	TREATS			Domain exclusion
T131	hops	TREATS			Domain exclusion
T059	lbpr	TREATS			Domain exclusion
T130	irda	TREATS			Domain exclusion
T028	gngm	TREATS			Domain exclusion
T062	resa	TREATS			Domain exclusion
T016	humn	TREATS			Domain exclusion
T122	bodm	TREATS			Domain exclusion
T065	edac	TREATS			Domain exclusion
T103	chem	TREATS			Domain exclusion
T170	inpr	TREATS			Domain exclusion
T098	popg	TREATS			Domain exclusion
T099	famg	TREATS			Domain exclusion
T064	gora	TREATS			Domain exclusion
T078	idcn	TREATS			Domain exclusion
T042	ortf	TREATS			Domain exclusion
T026	celc	TREATS			Domain exclusion
T169	ftcn	TREATS			Domain exclusion
T066	mcha	TREATS			Domain exclusion
T073	mnob	TREATS			Domain exclusion
T057	ocac	TREATS			Domain exclusion
T075	resd	TREATS			Domain exclusion
T059	lbpr	USES			Domain exclusion
T062	resa	USES			Domain exclusion
T058	hlca	USES			Domain exclusion
T098	popg	USES			Domain exclusion
T101	podg	USES			Domain exclusion
T063	mbrt	USES			Domain exclusion
T097	prog	USES			Domain exclusion
T096	grup	USES			Domain exclusion
T099	famg	USES			Domain exclusion
T016	humn	USES			Domain exclusion
T170	inpr	USES			Domain exclusion
T081	qnco	USES			Domain exclusion
T120	chvf	USES			Domain exclusion
T070	npop	USES			Domain exclusion
T065	edac	USES			Domain exclusion
T104	chvs	USES			Domain exclusion
T078	idcn	USES			Domain exclusion
T080	qlco	USES			Domain exclusion
		ADMINISTERED_TO	T016	humn	Range exclusion
		ADMINISTERED_TO	T015	mamm	Range exclusion
		ADMINISTERED_TO	T025	cell	Range exclusion
		ADMINISTERED_TO	T008	anim	Range exclusion
		ADMINISTERED_TO	T098	popg	Range exclusion
		ADMINISTERED_TO	T001	orgm	Range exclusion
		ADMINISTERED_TO	T100	aggp	Range exclusion
		ADMINISTERED_TO	T097	prog	Range exclusion
		ADMINISTERED_TO	T101	podg	Range exclusion
		ADMINISTERED_TO	not_found	invt	Range exclusion
		ADMINISTERED_TO	T050	emod	Range exclusion
		ADMINISTERED_TO	T099	famg	Range exclusion
		ADMINISTERED_TO	T096	grup	Range exclusion
		ADMINISTERED_TO	T170	inpr	Range exclusion
		ADMINISTERED_TO	T007	bact	Range exclusion
		ADMINISTERED_TO	T004	fngs	Range exclusion
		ADMINISTERED_TO	T002	plnt	Range exclusion
		ADMINISTERED_TO	T005	virs	Range exclusion
		ADMINISTERED_TO	T191	neop	Range exclusion
		ADMINISTERED_TO	T078	idcn	Range exclusion
		ADMINISTERED_TO	T194	arch	Range exclusion
		ADMINISTERED_TO	not_found	alga	Range exclusion
		ADMINISTERED_TO	not_found	rich	Range exclusion
		ADMINISTERED_TO	T012	bird	Range exclusion
		ADMINISTERED_TO	T010	vtbt	Range exclusion
		ADMINISTERED_TO	T014	rept	Range exclusion
		AFFECTS	T043	celf	Range exclusion
		AFFECTS	T040	orgf	Range exclusion
		AFFECTS	T047	dsyn	Range exclusion
		AFFECTS	T042	ortf	Range exclusion
		AFFECTS	T016	humn	Range exclusion
		AFFECTS	T046	patf	Range exclusion
		AFFECTS	T044	moft	Range exclusion
		AFFECTS	T045	genf	Range exclusion
		AFFECTS	T033	fndg	Range exclusion
		AFFECTS	T191	neop	Range exclusion
		AFFECTS	T023	bpoc	Range exclusion
		AFFECTS	T039	phsf	Range exclusion
		AFFECTS	T070	npop	Range exclusion
		AFFECTS	T025	cell	Range exclusion
		AFFECTS	T038	biof	Range exclusion
		AFFECTS	T026	celc	Range exclusion
		AFFECTS	T048	mobd	Range exclusion
		AFFECTS	T049	comd	Range exclusion
		AFFECTS	T028	gngm	Range exclusion
		AFFECTS	T024	tisu	Range exclusion
		AFFECTS	T184	sosy	Range exclusion
		AFFECTS	T101	podg	Range exclusion
		AFFECTS	T116	aapp	Range exclusion
		AFFECTS	T032	orga	Range exclusion
		AFFECTS	T037	inpo	Range exclusion
		AFFECTS	T201	clna	Range exclusion
		AFFECTS	T055	inbe	Range exclusion
		AFFECTS	T123	bacs	Range exclusion
		AFFECTS	T022	bdsy	Range exclusion
		AFFECTS	T058	hlca	Range exclusion
		AFFECTS	T020	acab	Range exclusion
		AFFECTS	T005	virs	Range exclusion
		AFFECTS	T018	emst	Range exclusion
		AFFECTS	T001	orgm	Range exclusion
		AFFECTS	T007	bact	Range exclusion
		AFFECTS	not_found	invt	Range exclusion
		AFFECTS	T008	anim	Range exclusion
		AFFECTS	T050	emod	Range exclusion
		AFFECTS	T004	fngs	Range exclusion
		AFFECTS	T100	aggp	Range exclusion
		AFFECTS	T019	cgab	Range exclusion
		AFFECTS	T190	anab	Range exclusion
		AFFECTS	T098	popg	Range exclusion
		AFFECTS	T013	fish	Range exclusion
		AFFECTS	T204	euka	Range exclusion
		AFFECTS	T053	bhvr	Range exclusion
		AFFECTS	T097	prog	Range exclusion
		AFFECTS	T017	anst	Range exclusion
		AFFECTS	T002	plnt	Range exclusion
		AFFECTS	T099	famg	Range exclusion
		AFFECTS	T034	lbtr	Range exclusion
		AFFECTS	T093	hcro	Range exclusion
		AFFECTS	T010	vtbt	Range exclusion
		AFFECTS	T011	amph	Range exclusion
		AFFECTS	T092	orgt	Range exclusion
		AFFECTS	T014	rept	Range exclusion
		AFFECTS	T096	grup	Range exclusion
		AFFECTS	not_found	alga	Range exclusion
		AFFECTS	T060	diap	Range exclusion
		AFFECTS	T021	ffas	Range exclusion
		AFFECTS	T121	phsu	Range exclusion
		AFFECTS	not_found	rich	Range exclusion
		AFFECTS	T195	antb	Range exclusion
		AFFECTS	T041	menp	Range exclusion
		AFFECTS	T194	arch	Range exclusion
		AFFECTS	T109	orch	Range exclusion
		AFFECTS	T054	socb	Range exclusion
		AFFECTS	T056	dora	Range exclusion
		AFFECTS	T059	lbpr	Range exclusion
		AFFECTS	T081	qnco	Range exclusion
		AFFECTS	T067	phpr	Range exclusion
		AFFECTS	T015	mamm	Range exclusion
		AFFECTS	T125	horm	Range exclusion
		AFFECTS	T196	elii	Range exclusion
		AFFECTS	T170	inpr	Range exclusion
		AFFECTS	T129	imft	Range exclusion
		AFFECTS	T197	inch	Range exclusion
		AFFECTS	not_found	lipd	Range exclusion
		AFFECTS	T095	shro	Range exclusion
		AFFECTS	T079	tmco	Range exclusion
		AFFECTS	T114	nnon	Range exclusion
		AFFECTS	T126	enzy	Range exclusion
		AFFECTS	not_found	carb	Range exclusion
		AFFECTS	not_found	nsba	Range exclusion
		AFFECTS	not_found	strd	Range exclusion
		AFFECTS	T131	hops	Range exclusion
		AFFECTS	T012	bird	Range exclusion
		AFFECTS	T094	pros	Range exclusion
		AFFECTS	T080	qlco	Range exclusion
		AFFECTS	T031	bdsu	Range exclusion
		AFFECTS	T192	rcpt	Range exclusion
		AFFECTS	not_found	eico	Range exclusion
		AFFECTS	T169	ftcn	Range exclusion
		AFFECTS	T078	idcn	Range exclusion
		AFFECTS	T122	bodm	Range exclusion
		AFFECTS	T029	blor	Range exclusion
		AFFECTS	T052	acty	Range exclusion
		AFFECTS	T063	mbrt	Range exclusion
		ASSOCIATED_WITH	T047	dsyn	Range exclusion
		ASSOCIATED_WITH	T191	neop	Range exclusion
		ASSOCIATED_WITH	T046	patf	Range exclusion
		ASSOCIATED_WITH	T184	sosy	Range exclusion
		ASSOCIATED_WITH	T048	mobd	Range exclusion
		ASSOCIATED_WITH	T028	gngm	Range exclusion
		ASSOCIATED_WITH	T037	inpo	Range exclusion
		ASSOCIATED_WITH	T045	genf	Range exclusion
		ASSOCIATED_WITH	T049	comd	Range exclusion
		ASSOCIATED_WITH	T033	fndg	Range exclusion
		ASSOCIATED_WITH	T044	moft	Range exclusion
		ASSOCIATED_WITH	T007	bact	Range exclusion
		ASSOCIATED_WITH	T121	phsu	Range exclusion
		ASSOCIATED_WITH	T109	orch	Range exclusion
		ASSOCIATED_WITH	T001	orgm	Range exclusion
		ASSOCIATED_WITH	T116	aapp	Range exclusion
		ASSOCIATED_WITH	not_found	rich	Range exclusion
		ASSOCIATED_WITH	T019	cgab	Range exclusion
		ASSOCIATED_WITH	T120	chvf	Range exclusion
		ASSOCIATED_WITH	T123	bacs	Range exclusion
		ASSOCIATED_WITH	T020	acab	Range exclusion
		ASSOCIATED_WITH	T190	anab	Range exclusion
		ASSOCIATED_WITH	T125	horm	Range exclusion
		ASSOCIATED_WITH	not_found	nsba	Range exclusion
		ASSOCIATED_WITH	T129	imft	Range exclusion
		ASSOCIATED_WITH	T196	elii	Range exclusion
		ASSOCIATED_WITH	T197	inch	Range exclusion
		ASSOCIATED_WITH	T096	grup	Range exclusion
		ASSOCIATED_WITH	T195	antb	Range exclusion
		ASSOCIATED_WITH	not_found	carb	Range exclusion
		ASSOCIATED_WITH	T131	hops	Range exclusion
		ASSOCIATED_WITH	T043	celf	Range exclusion
		ASSOCIATED_WITH	not_found	invt	Range exclusion
		ASSOCIATED_WITH	T005	virs	Range exclusion
		ASSOCIATED_WITH	T004	fngs	Range exclusion
		ASSOCIATED_WITH	not_found	lipd	Range exclusion
		ASSOCIATED_WITH	T126	enzy	Range exclusion
		ASSOCIATED_WITH	T130	irda	Range exclusion
		ASSOCIATED_WITH	T114	nnon	Range exclusion
		ASSOCIATED_WITH	T015	mamm	Range exclusion
		ASSOCIATED_WITH	T122	bodm	Range exclusion
		ASSOCIATED_WITH	not_found	eico	Range exclusion
		ASSOCIATED_WITH	T099	famg	Range exclusion
		ASSOCIATED_WITH	not_found	strd	Range exclusion
		ASSOCIATED_WITH	T063	mbrt	Range exclusion
		ASSOCIATED_WITH	T098	popg	Range exclusion
		ASSOCIATED_WITH	T055	inbe	Range exclusion
		ASSOCIATED_WITH	T013	fish	Range exclusion
		ASSOCIATED_WITH	T054	socb	Range exclusion
		ASSOCIATED_WITH	T079	tmco	Range exclusion
		ASSOCIATED_WITH	T031	bdsu	Range exclusion
		ASSOCIATED_WITH	T200	clnd	Range exclusion
		ASSOCIATED_WITH	T050	emod	Range exclusion
		ASSOCIATED_WITH	T168	food	Range exclusion
		ASSOCIATED_WITH	T002	plnt	Range exclusion
		ASSOCIATED_WITH	T192	rcpt	Range exclusion
		ASSOCIATED_WITH	T167	sbst	Range exclusion
		ASSOCIATED_WITH	T127	vita	Range exclusion
		ASSOCIATED_WITH	T008	anim	Range exclusion
		ASSOCIATED_WITH	T078	idcn	Range exclusion
		ASSOCIATED_WITH	T010	vtbt	Range exclusion
		AUGMENTS	T043	celf	Range exclusion
		AUGMENTS	T023	bpoc	Range exclusion
		AUGMENTS	T040	orgf	Range exclusion
		AUGMENTS	T025	cell	Range exclusion
		AUGMENTS	T042	ortf	Range exclusion
		AUGMENTS	T045	genf	Range exclusion
		AUGMENTS	T044	moft	Range exclusion
		AUGMENTS	T047	dsyn	Range exclusion
		AUGMENTS	T033	fndg	Range exclusion
		AUGMENTS	T070	npop	Range exclusion
		AUGMENTS	T046	patf	Range exclusion
		AUGMENTS	T026	celc	Range exclusion
		AUGMENTS	T191	neop	Range exclusion
		AUGMENTS	T024	tisu	Range exclusion
		AUGMENTS	T039	phsf	Range exclusion
		AUGMENTS	T041	menp	Range exclusion
		AUGMENTS	T049	comd	Range exclusion
		AUGMENTS	T184	sosy	Range exclusion
		AUGMENTS	T037	inpo	Range exclusion
		AUGMENTS	T038	biof	Range exclusion
		AUGMENTS	T048	mobd	Range exclusion
		AUGMENTS	T020	acab	Range exclusion
		AUGMENTS	T018	emst	Range exclusion
		AUGMENTS	T190	anab	Range exclusion
		AUGMENTS	T019	cgab	Range exclusion
		AUGMENTS	T017	anst	Range exclusion
		AUGMENTS	T021	ffas	Range exclusion
		AUGMENTS	T031	bdsu	Range exclusion
		AUGMENTS	T059	lbpr	Range exclusion
		AUGMENTS	T079	tmco	Range exclusion
		AUGMENTS	T067	phpr	Range exclusion
		AUGMENTS	T055	inbe	Range exclusion
		AUGMENTS	T201	clna	Range exclusion
		AUGMENTS	T082	spco	Range exclusion
		AUGMENTS	T032	orga	Range exclusion
		CAUSES	T047	dsyn	Range exclusion
		CAUSES	T046	patf	Range exclusion
		CAUSES	T043	celf	Range exclusion
		CAUSES	T033	fndg	Range exclusion
		CAUSES	T184	sosy	Range exclusion
		CAUSES	T037	inpo	Range exclusion
		CAUSES	T040	orgf	Range exclusion
		CAUSES	T191	neop	Range exclusion
		CAUSES	T049	comd	Range exclusion
		CAUSES	T048	mobd	Range exclusion
		CAUSES	T039	phsf	Range exclusion
		CAUSES	T058	hlca	Range exclusion
		CAUSES	T020	acab	Range exclusion
		CAUSES	T190	anab	Range exclusion
		CAUSES	T019	cgab	Range exclusion
		CAUSES	T044	moft	Range exclusion
		CAUSES	T050	emod	Range exclusion
		CAUSES	T034	lbtr	Range exclusion
		CAUSES	T038	biof	Range exclusion
		CAUSES	T045	genf	Range exclusion
		CAUSES	T042	ortf	Range exclusion
		CAUSES	T060	diap	Range exclusion
		CAUSES	T059	lbpr	Range exclusion
		CAUSES	T032	orga	Range exclusion
		CAUSES	T054	socb	Range exclusion
		CAUSES	T169	ftcn	Range exclusion
		CAUSES	T201	clna	Range exclusion
		CAUSES	T041	menp	Range exclusion
		CAUSES	T070	npop	Range exclusion
		CAUSES	T079	tmco	Range exclusion
		COEXISTS_WITH	T047	dsyn	Range exclusion
		COEXISTS_WITH	T028	gngm	Range exclusion
		COEXISTS_WITH	T191	neop	Range exclusion
		COEXISTS_WITH	T116	aapp	Range exclusion
		COEXISTS_WITH	T109	orch	Range exclusion
		COEXISTS_WITH	T123	bacs	Range exclusion
		COEXISTS_WITH	T033	fndg	Range exclusion
		COEXISTS_WITH	T046	patf	Range exclusion
		COEXISTS_WITH	T197	inch	Range exclusion
		COEXISTS_WITH	T121	phsu	Range exclusion
		COEXISTS_WITH	T040	orgf	Range exclusion
		COEXISTS_WITH	T184	sosy	Range exclusion
		COEXISTS_WITH	T048	mobd	Range exclusion
		COEXISTS_WITH	T058	hlca	Range exclusion
		COEXISTS_WITH	T061	topp	Range exclusion
		COEXISTS_WITH	T043	celf	Range exclusion
		COEXISTS_WITH	T037	inpo	Range exclusion
		COEXISTS_WITH	T042	ortf	Range exclusion
		COEXISTS_WITH	T019	cgab	Range exclusion
		COEXISTS_WITH	not_found	lipd	Range exclusion
		COEXISTS_WITH	T131	hops	Range exclusion
		COEXISTS_WITH	T196	elii	Range exclusion
		COEXISTS_WITH	not_found	carb	Range exclusion
		COEXISTS_WITH	T129	imft	Range exclusion
		COEXISTS_WITH	T190	anab	Range exclusion
		COEXISTS_WITH	T039	phsf	Range exclusion
		COEXISTS_WITH	T005	virs	Range exclusion
		COEXISTS_WITH	T195	antb	Range exclusion
		COEXISTS_WITH	T020	acab	Range exclusion
		COEXISTS_WITH	T049	comd	Range exclusion
		COEXISTS_WITH	T086	nusq	Range exclusion
		COEXISTS_WITH	T125	horm	Range exclusion
		COEXISTS_WITH	T045	genf	Range exclusion
		COEXISTS_WITH	not_found	nsba	Range exclusion
		COEXISTS_WITH	T126	enzy	Range exclusion
		COEXISTS_WITH	T192	rcpt	Range exclusion
		COEXISTS_WITH	not_found	strd	Range exclusion
		COEXISTS_WITH	T050	emod	Range exclusion
		COEXISTS_WITH	T034	lbtr	Range exclusion
		COEXISTS_WITH	not_found	eico	Range exclusion
		COEXISTS_WITH	not_found	opco	Range exclusion
		COEXISTS_WITH	T114	nnon	Range exclusion
		COEXISTS_WITH	T044	moft	Range exclusion
		COEXISTS_WITH	T130	irda	Range exclusion
		COEXISTS_WITH	T122	bodm	Range exclusion
		COEXISTS_WITH	T060	diap	Range exclusion
		COEXISTS_WITH	T168	food	Range exclusion
		COEXISTS_WITH	T059	lbpr	Range exclusion
		COEXISTS_WITH	T026	celc	Range exclusion
		COEXISTS_WITH	T104	chvs	Range exclusion
		COEXISTS_WITH	T120	chvf	Range exclusion
		COEXISTS_WITH	T074	medd	Range exclusion
		COEXISTS_WITH	T079	tmco	Range exclusion
		COEXISTS_WITH	T127	vita	Range exclusion
		COEXISTS_WITH	T041	menp	Range exclusion
		COEXISTS_WITH	T169	ftcn	Range exclusion
		COEXISTS_WITH	T200	clnd	Range exclusion
		COEXISTS_WITH	T055	inbe	Range exclusion
		COEXISTS_WITH	T069	eehu	Range exclusion
		COEXISTS_WITH	T054	socb	Range exclusion
		COEXISTS_WITH	T073	mnob	Range exclusion
		COEXISTS_WITH	T087	amas	Range exclusion
		COEXISTS_WITH	T201	clna	Range exclusion
		COEXISTS_WITH	T062	resa	Range exclusion
		COEXISTS_WITH	T032	orga	Range exclusion
		COEXISTS_WITH	T065	edac	Range exclusion
		COEXISTS_WITH	T031	bdsu	Range exclusion
		COEXISTS_WITH	T056	dora	Range exclusion
		COEXISTS_WITH	T103	chem	Range exclusion
		compared_with	T061	topp	Range exclusion
		compared_with	T109	orch	Range exclusion
		compared_with	T116	aapp	Range exclusion
		compared_with	T074	medd	Range exclusion
		compared_with	T028	gngm	Range exclusion
		compared_with	T123	bacs	Range exclusion
		compared_with	T121	phsu	Range exclusion
		compared_with	T195	antb	Range exclusion
		compared_with	T197	inch	Range exclusion
		compared_with	T114	nnon	Range exclusion
		compared_with	T131	hops	Range exclusion
		compared_with	T125	horm	Range exclusion
		compared_with	not_found	carb	Range exclusion
		compared_with	T196	elii	Range exclusion
		compared_with	T104	chvs	Range exclusion
		compared_with	T120	chvf	Range exclusion
		compared_with	T130	irda	Range exclusion
		compared_with	not_found	lipd	Range exclusion
		compared_with	T122	bodm	Range exclusion
		compared_with	T129	imft	Range exclusion
		compared_with	T200	clnd	Range exclusion
		compared_with	T062	resa	Range exclusion
		compared_with	not_found	nsba	Range exclusion
		compared_with	not_found	opco	Range exclusion
		compared_with	not_found	eico	Range exclusion
		compared_with	T103	chem	Range exclusion
		compared_with	not_found	strd	Range exclusion
		compared_with	T126	enzy	Range exclusion
		compared_with	T026	celc	Range exclusion
		compared_with	T168	food	Range exclusion
		compared_with	T192	rcpt	Range exclusion
		compared_with	T056	dora	Range exclusion
		compared_with	T060	diap	Range exclusion
		compared_with	T069	eehu	Range exclusion
		compared_with	T081	qnco	Range exclusion
		compared_with	T170	inpr	Range exclusion
		compared_with	T023	bpoc	Range exclusion
		compared_with	T079	tmco	Range exclusion
		compared_with	T087	amas	Range exclusion
		compared_with	T059	lbpr	Range exclusion
		compared_with	T025	cell	Range exclusion
		compared_with	T073	mnob	Range exclusion
		compared_with	T169	ftcn	Range exclusion
		compared_with	T080	qlco	Range exclusion
		compared_with	T047	dsyn	Range exclusion
		compared_with	T083	geoa	Range exclusion
		compared_with	T033	fndg	Range exclusion
		compared_with	T005	virs	Range exclusion
		compared_with	T127	vita	Range exclusion
		compared_with	T086	nusq	Range exclusion
		compared_with	T082	spco	Range exclusion
		compared_with	T191	neop	Range exclusion
		compared_with	T171	lang	Range exclusion
		compared_with	T002	plnt	Range exclusion
		compared_with	T041	menp	Range exclusion
		compared_with	T019	cgab	Range exclusion
		compared_with	T044	moft	Range exclusion
		compared_with	T201	clna	Range exclusion
		compared_with	T063	mbrt	Range exclusion
		compared_with	T185	clas	Range exclusion
		compared_with	T013	fish	Range exclusion
		compared_with	T078	idcn	Range exclusion
		compared_with	T029	blor	Range exclusion
		compared_with	T043	celf	Range exclusion
		compared_with	T040	orgf	Range exclusion
		compared_with	T046	patf	Range exclusion
		compared_with	T024	tisu	Range exclusion
		compared_with	T098	popg	Range exclusion
		compared_with	T097	prog	Range exclusion
		compared_with	T007	bact	Range exclusion
		compared_with	T031	bdsu	Range exclusion
		compared_with	T049	comd	Range exclusion
		compared_with	T042	ortf	Range exclusion
		compared_with	T032	orga	Range exclusion
		compared_with	T039	phsf	Range exclusion
		compared_with	not_found	invt	Range exclusion
		compared_with	T058	hlca	Range exclusion
		compared_with	T093	hcro	Range exclusion
		compared_with	T015	mamm	Range exclusion
		compared_with	T070	npop	Range exclusion
		compared_with	T092	orgt	Range exclusion
		COMPLICATES	T047	dsyn	Range exclusion
		COMPLICATES	T046	patf	Range exclusion
		COMPLICATES	T191	neop	Range exclusion
		COMPLICATES	T037	inpo	Range exclusion
		COMPLICATES	T019	cgab	Range exclusion
		COMPLICATES	T190	anab	Range exclusion
		COMPLICATES	T048	mobd	Range exclusion
		COMPLICATES	T020	acab	Range exclusion
		COMPLICATES	T184	sosy	Range exclusion
		COMPLICATES	T040	orgf	Range exclusion
		COMPLICATES	T049	comd	Range exclusion
		COMPLICATES	T042	ortf	Range exclusion
		COMPLICATES	T043	celf	Range exclusion
		COMPLICATES	T039	phsf	Range exclusion
		COMPLICATES	T050	emod	Range exclusion
		COMPLICATES	T045	genf	Range exclusion
		COMPLICATES	T038	biof	Range exclusion
		COMPLICATES	T033	fndg	Range exclusion
		CONVERTS_TO	T028	gngm	Range exclusion
		CONVERTS_TO	T109	orch	Range exclusion
		CONVERTS_TO	T123	bacs	Range exclusion
		CONVERTS_TO	T196	elii	Range exclusion
		CONVERTS_TO	T121	phsu	Range exclusion
		CONVERTS_TO	T197	inch	Range exclusion
		CONVERTS_TO	not_found	carb	Range exclusion
		CONVERTS_TO	T129	imft	Range exclusion
		CONVERTS_TO	T131	hops	Range exclusion
		CONVERTS_TO	T116	aapp	Range exclusion
		CONVERTS_TO	T125	horm	Range exclusion
		CONVERTS_TO	not_found	lipd	Range exclusion
		CONVERTS_TO	not_found	eico	Range exclusion
		CONVERTS_TO	T086	nusq	Range exclusion
		CONVERTS_TO	T195	antb	Range exclusion
		CONVERTS_TO	not_found	nsba	Range exclusion
		CONVERTS_TO	not_found	strd	Range exclusion
		CONVERTS_TO	not_found	opco	Range exclusion
		CONVERTS_TO	T126	enzy	Range exclusion
		CONVERTS_TO	T114	nnon	Range exclusion
		CONVERTS_TO	T192	rcpt	Range exclusion
		CONVERTS_TO	T122	bodm	Range exclusion
		CONVERTS_TO	T130	irda	Range exclusion
		CONVERTS_TO	T104	chvs	Range exclusion
		CONVERTS_TO	T026	celc	Range exclusion
		CONVERTS_TO	T087	amas	Range exclusion
		CONVERTS_TO	T168	food	Range exclusion
		CONVERTS_TO	T061	topp	Range exclusion
		CONVERTS_TO	T120	chvf	Range exclusion
		DIAGNOSES	T047	dsyn	Range exclusion
		DIAGNOSES	T191	neop	Range exclusion
		DIAGNOSES	T033	fndg	Range exclusion
		DIAGNOSES	T046	patf	Range exclusion
		DIAGNOSES	T005	virs	Range exclusion
		DIAGNOSES	T037	inpo	Range exclusion
		DIAGNOSES	T048	mobd	Range exclusion
		DIAGNOSES	T190	anab	Range exclusion
		DIAGNOSES	T019	cgab	Range exclusion
		DIAGNOSES	T184	sosy	Range exclusion
		DIAGNOSES	T020	acab	Range exclusion
		DIAGNOSES	T049	comd	Range exclusion
		DIAGNOSES	T050	emod	Range exclusion
		DIAGNOSES	T169	ftcn	Range exclusion
		DIAGNOSES	T045	genf	Range exclusion
		DIAGNOSES	T114	nnon	Range exclusion
		DIAGNOSES	T055	inbe	Range exclusion
		DIAGNOSES	T031	bdsu	Range exclusion
		DIAGNOSES	T040	orgf	Range exclusion
		DIAGNOSES	T054	socb	Range exclusion
		DISRUPTS	T043	celf	Range exclusion
